Id,SalePrice
1461,123373.69366325936
1462,168854.73233898327
1463,182907.27450860423
1464,188833.7986461286
1465,182332.73388535267
1466,175358.785995559
1467,172046.0346946295
1468,170068.69815121876
1469,178924.97975250697
1470,125600.69087280911
1471,198388.3492587742
1472,93232.3478859963
1473,98636.23735678337
1474,151495.89865702094
1475,131006.3190721297
1476,357620.26250598166
1477,244142.00139345494
1478,283563.25657159544
1479,256346.53399810824
1480,473334.5767696315
1481,328540.25399632275
1482,201602.66068702895
1483,179314.4084207815
1484,164454.66717443572
1485,174941.70834788718
1486,196362.47912017992
1487,330229.5863380417
1488,228108.6919415491
1489,201638.04460433993
1490,215901.47574872896
1491,186517.16836944903
1492,89859.98811792536
1493,170397.95551491738
1494,288171.9088769466
1495,295263.6366357837
1496,238139.43842724364
1497,186022.21225759183
1498,158473.9031423461
1499,152620.2399560599
1500,160300.24880022547
1501,175244.23120579316
1502,149295.90655920623
1503,291551.48807522113
1504,239608.23623256097
1505,219602.2701390188
1506,163182.81566659233
1507,261073.7876259632
1508,203333.44789626778
1509,160249.3331771524
1510,150728.26370575896
1511,148733.90955270495
1512,162194.94715495454
1513,143960.05932156442
1514,161634.58954504496
1515,179401.99901457742
1516,152676.05919225022
1517,163572.2636667849
1518,129784.37549234374
1519,226921.0188713192
1520,138155.22116119583
1521,134902.88657208745
1522,161899.07152233418
1523,117968.0141992361
1524,117758.6151443999
1525,121802.5492248803
1526,119094.58758353187
1527,99358.20099916054
1528,132547.5873709405
1529,148168.7920889243
1530,166258.89948510073
1531,108466.11896581903
1532,99882.03801903359
1533,140543.3484177338
1534,117175.51364568167
1535,149144.3046219381
1536,115601.93805182168
1537,64985.88111406852
1538,155988.45033042945
1539,185624.0608602635
1540,95331.43698159979
1541,138585.57607648458
1542,139105.63713900547
1543,233285.09293787883
1544,83860.99156244354
1545,105851.76227076627
1546,129615.38021079228
1547,137413.34137937726
1548,135354.1365418522
1549,114899.71924826794
1550,141066.72967851962
1551,110371.60389607557
1552,131281.03403502583
1553,156873.54338845305
1554,110216.62868052348
1555,173308.79216711977
1556,84602.20938067451
1557,109209.77108865044
1558,85461.44715848519
1559,100662.95050983028
1560,131731.56594521325
1561,143880.83783937834
1562,126735.0914168637
1563,124831.76757512092
1564,157253.3111446775
1565,150846.75900480672
1566,238415.06676920314
1567,73483.72975275344
1568,231510.5022761179
1569,144796.37572720827
1570,130968.09700977849
1571,107806.225873465
1572,145570.2331370924
1573,242703.42072713067
1574,109939.59461492306
1575,204429.0860960271
1576,231594.07996540994
1577,193674.31620238937
1578,136438.52654046495
1579,143990.18249558992
1580,190232.97673843268
1581,148696.28812438078
1582,129363.71887238589
1583,321467.509281028
